Date,Open,High,Low,Close,Adj Close,Volume
2014-02-23,1131.969971,1138.239990,1124.800049,1133.310059,1133.310059,271824
2014-02-24,1050.550049,1083.760010,1050.550049,1083.760010,1083.760010,31244
2014-02-25,918.840027,931.869995,890.320007,912.859985,912.859985,176328
2014-02-26,1083.349976,1087.520020,1044.489990,1062.459961,1062.459961,58403
2014-02-27,909.479980,909.479980,894.099976,894.099976,894.099976,8941
2014-02-28,935.460022,935.460022,898.049988,916.760010,916.760010,42170
2014-03-01,931.549988,946.760010,912.539978,912.539978,912.539978,33417
2014-03-02,897.400024,897.770020,897.400024,897.400024,897.400024,54193
2014-03-03,953.849976,1049.239990,834.619995,834.619995,834.619995,207436
2014-03-04,838.010010,1077.439941,838.010010,1077.439941,1077.439941,147178
2014-03-05,1259.160034,1259.160034,1165.890015,1165.890015,1165.890015,19038
2014-03-06,1124.800049,1124.800049,1124.800049,1124.800049,1124.800049,8998
2014-03-07,1089.890015,1155.290039,1089.890015,1133.489990,1133.489990,83572
2014-03-08,1800.530029,1800.530029,1377.609985,1377.609985,1377.609985,92
2014-03-09,1133.819946,1173.069946,1133.819946,1138.189941,1138.189941,32370
2014-03-10,940.809998,940.809998,940.809998,940.809998,940.809998,4064
2014-03-11,1070.290039,1070.290039,826.479980,1000.039978,1000.039978,2260
2014-03-12,1120.760010,1185.180054,1120.760010,1185.180054,1185.180054,81196
2014-03-13,1145.839966,1145.839966,1120.930054,1120.930054,1120.930054,10503
2014-03-14,449.119995,1224.880005,449.119995,951.320007,951.320007,4851
2014-03-15,1091.079956,1091.079956,1010.260010,1070.869995,1070.869995,2270
2014-03-16,1073.069946,1089.270020,1052.819946,1089.270020,1089.270020,21186
2014-03-17,1120.869995,1156.290039,1120.869995,1156.290039,1156.290039,16534
2014-03-18,1126.439941,1302.619995,1096.000000,1302.619995,1302.619995,341612
2014-03-19,1315.130005,1361.849976,1054.069946,1196.689941,1196.689941,156180
2014-03-20,1035.560059,1170.329956,997.260010,997.260010,997.260010,26307
2014-03-21,1083.890015,1083.890015,1060.380005,1060.380005,1060.380005,39308
2014-03-22,1030.479980,1030.479980,1026.359985,1026.359985,1026.359985,61027
2014-03-23,1101.150024,1128.069946,1101.150024,1128.069946,1128.069946,29623
2014-03-24,1274.069946,1313.890015,1114.810059,1114.810059,1114.810059,5139
2014-03-25,1131.569946,1131.569946,1099.319946,1099.319946,1099.319946,7849
2014-03-26,1128.430054,1139.599976,1128.430054,1139.599976,1139.599976,2279
2014-03-27,996.390015,996.390015,904.849976,904.849976,904.849976,2397
2014-03-28,867.270020,982.049988,867.270020,982.049988,982.049988,16419
2014-03-29,813.969971,813.969971,803.909973,803.909973,803.909973,11102
2014-03-30,742.570007,750.799988,718.409973,739.909973,739.909973,195839
2014-03-30,903.989990,937.400024,903.989990,937.400024,937.400024,25656
2014-03-31,961.229980,964.559998,919.659973,919.659973,919.659973,552559
2014-04-01,944.520020,960.919983,922.320007,922.320007,922.320007,411945
2014-04-02,851.469971,851.469971,771.679993,773.260010,773.260010,241249
2014-04-03,737.409973,756.359985,737.409973,756.359985,756.359985,31358
2014-04-04,795.520020,885.359985,773.380005,885.359985,885.359985,21505
2014-04-05,732.409973,732.409973,639.780029,639.780029,639.780029,21323
2014-04-06,737.090027,783.809998,737.090027,783.809998,783.809998,45899
2014-04-07,692.250000,692.250000,668.559998,668.559998,668.559998,2734
2014-04-08,768.450012,837.219971,687.710022,687.710022,687.710022,370
2014-04-09,689.809998,695.030029,630.200012,632.119995,632.119995,207746
2014-04-10,669.539978,717.840027,685.250000,717.549988,717.549988,17457
2014-04-11,843.109985,843.109985,825.039978,825.039978,825.039978,137
2014-04-12,770.159973,770.159973,674.590027,674.590027,674.590027,4270
2014-04-13,785.820007,796.650024,781.039978,796.650024,796.650024,2127
2014-04-14,850.929993,867.270020,850.929993,867.270020,867.270020,150072
2014-04-15,933.229980,1030.439941,933.229980,972.109985,972.109985,441
2014-04-16,866.070007,994.250000,831.429993,994.250000,994.250000,3440
2014-04-17,880.929993,862.950012,862.950012,862.950012,862.950012,1234
2014-04-18,852.369995,998.489990,852.369995,859.320007,859.320007,637
2014-04-19,851.289978,947.789978,851.289978,861.630005,861.630005,398
2014-04-20,857.489990,924.140015,875.359985,924.140015,924.140015,5674
2014-04-21,894.659973,894.659973,811.520020,811.520020,811.520020,660
2014-04-22,807.280029,807.280029,807.280029,807.280029,807.280029,20569
2014-04-23,817.330017,817.330017,740.229980,740.229980,740.229980,4345
2014-04-24,715.419983,718.349976,715.419983,718.349976,718.349976,31420
2014-04-25,643.869995,656.750000,643.869995,656.750000,656.750000,6882
2014-04-26,720.929993,720.929993,663.520020,677.950012,677.950012,9660
2014-04-27,735.270020,803.289978,735.270020,735.919983,735.919983,332
2014-04-28,581.049988,634.250000,581.049988,634.250000,634.250000,102
2014-04-29,663.440002,691.679993,655.260010,655.260010,655.260010,19775
2014-04-30,746.460022,826.539978,746.460022,804.030029,804.030029,48113
2014-05-01,775.229980,775.229980,744.219971,744.219971,744.219971,16566
2014-05-02,723.580017,859.260010,723.580017,723.580017,723.580017,10122
2014-05-03,723.580017,850.210022,693.440002,850.210022,850.210022,5823
2014-05-04,837.739990,837.739990,683.260010,698.409973,698.409973,2667
2014-05-05,675.780029,675.780029,675.780029,675.780029,675.780029,3676
2014-05-06,588.880005,614.489990,588.880005,588.880005,588.880005,1860
2014-05-07,638.659973,694.190002,638.659973,638.659973,638.659973,634
2014-05-08,602.219971,654.590027,602.219971,615.320007,615.320007,836
2014-05-09,763.119995,789.099976,746.880005,789.099976,789.099976,4600
2014-05-10,679.469971,699.039978,629.140015,699.039978,699.039978,2949
2014-05-11,701.599976,729.669983,617.409973,617.409973,617.409973,6279
2014-05-12,622.460022,650.750000,622.460022,650.750000,650.750000,328
2014-05-13,612.049988,647.179993,598.750000,647.179993,647.179993,33167
2014-05-14,677.320007,677.320007,649.099976,649.099976,649.099976,3758
